,accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
0,ENCFF726ZHA,GRCh38,[2],bigWig,1193666394,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/07/cb70dc13-1100-47d8-afa8-7500123bdfc5/ENCFF726ZHA.bigWig,human,MM.1S,H2AFZ
1,ENCFF081XLE,GRCh38,"[1, 2]",bigWig,2233925836,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/07/98359502-ca12-4cd1-88b9-f92d380d9ddf/ENCFF081XLE.bigWig,human,MM.1S,H2AFZ
2,ENCFF637OUP,GRCh38,[1],bigWig,1296632584,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/07/41e27aaf-b96e-461d-a79e-bc000f57a9ed/ENCFF637OUP.bigWig,human,MM.1S,H2AFZ
3,ENCFF372RHP,hg19,[2],bigWig,1193824046,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/14/dc1bc589-1454-48bd-99aa-e596f39b4bec/ENCFF372RHP.bigWig,human,MM.1S,H2AFZ
4,ENCFF843ATJ,hg19,"[1, 2]",bigWig,2257810268,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/10/14/eefb7078-2350-4a13-a0cd-24cd4e619085/ENCFF843ATJ.bigWig,human,MM.1S,H2AFZ
0,ENCFF588XSZ,GRCh38,"[1, 2]",bigWig,2010001282,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/29c5f1a0-6132-48b5-93c2-391916d721d1/ENCFF588XSZ.bigWig,human,HEK293,ZBTB6
1,ENCFF884DBB,hg19,[2],bigWig,1408469942,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/27/d7ca05d2-da9d-4a8c-b0f8-798770585d90/ENCFF884DBB.bigWig,human,HEK293,ZBTB6
0,ENCFF920OQP,GRCh38,[1],bigWig,775024335,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/08/d7c7aab2-3907-4131-aad6-25616db4fb66/ENCFF920OQP.bigWig,human,HepG2,EHMT2
1,ENCFF169HZN,GRCh38,"[1, 2]",bigWig,1166837624,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/08/f88f6ad5-0834-451b-ae45-a5a1ca553337/ENCFF169HZN.bigWig,human,HepG2,EHMT2
0,ENCFF013RIS,hg19,[2],bigWig,868714763,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/14/65bc082c-9591-4f6c-a1f4-605d516de830/ENCFF013RIS.bigWig,human,GM12878,HDAC2
1,ENCFF159SQB,GRCh38,"[1, 2]",bigWig,1393899627,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/11/14/332eefd4-6c0b-49b0-83ac-465942ecced9/ENCFF159SQB.bigWig,human,GM12878,HDAC2
0,ENCFF806OYX,GRCh38,[2],bigWig,1947397585,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/15/68116169-f45b-4308-83d4-50451d660c9c/ENCFF806OYX.bigWig,human,H1,ASH2L
0,ENCFF149ZYU,GRCh38,"[1, 2]",bigWig,856526877,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/17/e7dd1fa6-272d-4f02-807f-625b19d85b1d/ENCFF149ZYU.bigWig,human,H9,H2BK15ac
1,ENCFF294BMU,hg19,[2],bigWig,326985574,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/17/85c34314-ae7b-49f8-990a-4b414e427373/ENCFF294BMU.bigWig,human,H9,H2BK15ac
2,ENCFF661NCA,hg19,"[1, 2]",bigWig,855062099,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/17/d3946fd1-7f56-4559-9c76-3d108fc73689/ENCFF661NCA.bigWig,human,H9,H2BK15ac
3,ENCFF457TOH,GRCh38,[2],bigWig,328501450,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/17/ab06e4c3-33a3-4562-835c-5575f2a7dd42/ENCFF457TOH.bigWig,human,H9,H2BK15ac
