accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF093OOO,hg19,"[1, 2]",bigWig,2453436231,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/26/0c74c45b-3d33-4462-b1d2-9dabc9aa6d7c/ENCFF093OOO.bigWig,human,GM12878,TRIM22
ENCFF873AHU,hg19,"[1, 2]",bigWig,2451768749,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/18/96d43f19-4b59-4871-9fe3-e4c24e24f7e0/ENCFF873AHU.bigWig,human,HEK293,eGFP-ZSCAN21
ENCFF087XWL,hg19,"[1, 2]",bigWig,2449085590,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/651f35e9-be6a-4d54-bede-b50853814043/ENCFF087XWL.bigWig,human,K562,CHAMP1
ENCFF322WVK,hg19,"[1, 2]",bigWig,2447432818,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/16/114d64e6-a450-4916-abc7-4f2e2223ce62/ENCFF322WVK.bigWig,human,HEK293,eGFP-ZNF366
ENCFF677OXC,hg19,"[1, 2]",bigWig,2444383314,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/15/29cf556f-b698-44b5-b45c-1ec3529d84c9/ENCFF677OXC.bigWig,human,HEK293,eGFP-ZNF398
ENCFF757HAQ,hg19,"[1, 2]",bigWig,2443407353,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/05/b5e004ed-9a4f-4624-8c54-78961422a204/ENCFF757HAQ.bigWig,human,K562,SOX6
ENCFF177KNX,hg19,"[3, 4]",bigWig,2441822569,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/01/1c8d5d9d-948e-4cfe-81ec-d964f805b117/ENCFF177KNX.bigWig,human,HepG2,NBN
ENCFF576UWV,hg19,"[1, 2]",bigWig,2440543893,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/9ec51d4d-fe5f-407e-8c79-3804fe76aa00/ENCFF576UWV.bigWig,human,GM12878,IKZF1
ENCFF684JZK,hg19,"[1, 2]",bigWig,2439649766,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/25f6bb37-a8ac-4216-a9ea-715802d2ea8f/ENCFF684JZK.bigWig,human,K562,COPS2
ENCFF021OHP,hg19,"[1, 2]",bigWig,2436571677,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/f591f1f7-3f8c-462c-849c-5faced019782/ENCFF021OHP.bigWig,human,GM12878,MTA2
ENCFF332WPW,hg19,"[1, 2]",bigWig,2432054798,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/01/415e8dbb-3a28-495a-800c-69bdb03cf15e/ENCFF332WPW.bigWig,human,K562,MCM3
ENCFF480PRG,hg19,"[2, 3]",bigWig,2430797149,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/11/4aa6e907-e14b-4cc3-892a-711b8dee545d/ENCFF480PRG.bigWig,human,K562,KDM4B
ENCFF849RXO,hg19,"[1, 2]",bigWig,2427847870,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/14/2564f116-15d6-44e3-b7ec-45e3aa919216/ENCFF849RXO.bigWig,human,K562,ZNF316
ENCFF085HIP,hg19,"[1, 3]",bigWig,2425103234,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/11/11/50ffc60f-92b5-45c4-9311-d47dcecc7338/ENCFF085HIP.bigWig,human,GM12878,ZNF622
ENCFF158HLI,hg19,"[1, 2]",bigWig,2423352334,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/09/17/55048f5e-91bb-4622-9b70-5684655c3fc9/ENCFF158HLI.bigWig,human,GM12878,SRF
ENCFF488DHD,hg19,"[1, 2]",bigWig,2421814595,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/05/12/ac052371-6f34-4c35-adb3-fbf8c887b71c/ENCFF488DHD.bigWig,human,GM12878,LARP7
ENCFF481QRK,hg19,"[2, 3]",bigWig,2414885413,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/26/f43a6c42-1c4c-440c-af05-58a1120bea11/ENCFF481QRK.bigWig,human,A549,SREBF1
