accession,assembly,biological_replicates,file_format,file_size,output_type,status,url,organism,cell_line,target
ENCFF983NVY,hg19,"[1, 2]",bigWig,851197748,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/4c893c2c-703e-4c12-9f13-a16f473f25ea/ENCFF983NVY.bigWig,human,HepG2,HNRNPUL1
ENCFF991ROC,hg19,"[1, 2]",bigWig,847571230,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/8628c00f-f7ce-4c6d-b95a-7b625f737b19/ENCFF991ROC.bigWig,human,HepG2,3xFLAG-ZKSCAN8
ENCFF308XAV,hg19,"[1, 2]",bigWig,847566484,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/e9e831af-115e-4450-8637-5a4d4f6ebf1f/ENCFF308XAV.bigWig,human,HepG2,3xFLAG-THAP11
ENCFF909WFI,hg19,"[1, 2]",bigWig,845264668,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/0da41fc3-9be6-467d-a0e4-9747d63de821/ENCFF909WFI.bigWig,human,MCF-7,eGFP-E2F4
ENCFF153YVX,hg19,"[1, 2]",bigWig,841095288,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/0417a7b1-57e5-4cae-b53b-5d12edaab7da/ENCFF153YVX.bigWig,human,HepG2,3xFLAG-DMAP1
ENCFF238BWB,hg19,"[1, 2]",bigWig,840367627,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/8f7e1f9e-3268-42f9-8ec8-ddb9875c842f/ENCFF238BWB.bigWig,human,A549,YY1
ENCFF311ZPR,hg19,"[1, 2]",bigWig,840058401,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/faf1c6f2-c01d-447e-9b8d-8d7915ef9b6e/ENCFF311ZPR.bigWig,human,HepG2,U2AF1
ENCFF579RNC,hg19,"[1, 2]",bigWig,836546443,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/05/181dcac3-a042-47d5-a88b-e7c94ff0889b/ENCFF579RNC.bigWig,human,K562,POU5F1
ENCFF274AZI,hg19,"[1, 2]",bigWig,836225785,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/09/439cf9e1-b38a-4448-b0ae-3c05abdbfffe/ENCFF274AZI.bigWig,human,H1,RFX5
ENCFF974CYT,hg19,"[1, 2]",bigWig,831836922,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/5dafbf99-9752-4a4c-84c7-3a208ff80424/ENCFF974CYT.bigWig,human,K562,eGFP-GTF2E2
ENCFF746UXC,hg19,"[1, 2]",bigWig,830890607,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/1c0e4228-2313-4d08-81ba-6eb5523342a4/ENCFF746UXC.bigWig,human,K562,PML
ENCFF481MMI,hg19,"[1, 2]",bigWig,830418563,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/06/7ff663ae-d5e0-4aa4-a141-b91de4fe09d5/ENCFF481MMI.bigWig,human,GM12878,CEBPB
ENCFF861JFK,hg19,"[1, 2]",bigWig,826803782,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/686c6dbd-06f9-459c-9391-fd74292d86f7/ENCFF861JFK.bigWig,human,HepG2,ATF3
ENCFF127MEU,hg19,"[1, 2]",bigWig,826071349,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/11/03/5f5b7b89-08ec-489e-8ae2-0ab4e6bd553c/ENCFF127MEU.bigWig,human,GM12878,UBTF
ENCFF141ZYT,hg19,"[1, 2]",bigWig,824894357,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/04/1a563756-426e-41ec-84a3-5f3643b09422/ENCFF141ZYT.bigWig,human,H1,H2BK20ac
ENCFF046WHP,hg19,"[1, 2]",bigWig,823583642,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/69f5266e-976b-450e-912b-fc7b1cf33ade/ENCFF046WHP.bigWig,human,K562,RBM39
ENCFF922NHB,hg19,"[1, 3]",bigWig,815385213,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/01/11b42fe5-c894-4926-873a-5dcb9776c096/ENCFF922NHB.bigWig,human,K562,eGFP-ZNF395
ENCFF059DNT,hg19,"[1, 2]",bigWig,815174999,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/04/23/3bdefa2d-1e25-4ad4-aa17-3390f409079f/ENCFF059DNT.bigWig,human,K562,eGFP-ZNF766
ENCFF027MPC,hg19,"[1, 2]",bigWig,806892629,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/12/08/c8350ccb-bd6b-4188-9f77-c78210973c21/ENCFF027MPC.bigWig,human,A549,TCF12
ENCFF194BQZ,hg19,"[1, 2]",bigWig,806125612,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/340abc64-6483-4c12-9965-99eacbbffaee/ENCFF194BQZ.bigWig,human,HepG2,3xFLAG-ZNF580
ENCFF368XHC,hg19,"[1, 2]",bigWig,799819344,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/06/13/4a38ed22-877f-41a6-b88d-233801c62844/ENCFF368XHC.bigWig,human,HepG2,3xFLAG-ATF1
ENCFF966DNE,hg19,"[1, 2]",bigWig,799476203,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/4a847878-56a0-41df-9c75-4aa899116222/ENCFF966DNE.bigWig,human,HepG2,3xFLAG-RCOR2
ENCFF033CYW,hg19,"[1, 2]",bigWig,798918876,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/c0aa3821-bb7b-41ec-b74c-3a69a6ad951d/ENCFF033CYW.bigWig,human,HepG2,SNRNP70
ENCFF875OVP,hg19,"[1, 2]",bigWig,794993006,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/12/13/ef6aae86-ec2e-4cb1-a96a-9d6ad3dc0372/ENCFF875OVP.bigWig,human,H1,NRF1
ENCFF762OXK,hg19,"[1, 2]",bigWig,792589296,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/00c6db53-3218-4383-b5e0-c2c32b53a307/ENCFF762OXK.bigWig,human,HepG2,3xFLAG-ZNF652
ENCFF144DLZ,hg19,"[1, 2]",bigWig,789779581,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/79146a2b-490a-435c-aebf-4023f649fbb5/ENCFF144DLZ.bigWig,human,HepG2,3xFLAG-GABPB1
ENCFF543ZLP,hg19,"[1, 2]",bigWig,788566505,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/c0a458c2-262c-4445-bf02-753e3becb7a6/ENCFF543ZLP.bigWig,human,HepG2,3xFLAG-NR2F1
ENCFF403NPP,hg19,"[1, 2]",bigWig,787600042,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/574f5fe4-0d84-4d17-bc5f-426f7018d922/ENCFF403NPP.bigWig,human,HepG2,3xFLAG-SP5
ENCFF336PWR,hg19,"[1, 2]",bigWig,787560639,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/03/16/ff7259c4-060e-4314-b666-b5ee1467ebef/ENCFF336PWR.bigWig,human,HepG2,3xFLAG-ZNF3
ENCFF733OEF,hg19,"[1, 2]",bigWig,785419838,fold change over control,released,https://encode-public.s3.amazonaws.com/2015/11/03/e00c27d3-1924-4f02-a862-f204d6c3ab29/ENCFF733OEF.bigWig,human,K562,NEUROD1
ENCFF342MCF,hg19,"[1, 2]",bigWig,783793163,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/cf67aa72-ed22-403f-96fc-1946a0951273/ENCFF342MCF.bigWig,human,HepG2,3xFLAG-KLF6
ENCFF878SUX,hg19,"[1, 2]",bigWig,782698127,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/03/09/01809f08-a225-4e96-af41-7170e841a5aa/ENCFF878SUX.bigWig,human,K562,SRSF9
ENCFF197UJE,hg19,"[1, 2]",bigWig,782029966,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/3804fed6-fce8-44ee-a7af-26e754c2cda2/ENCFF197UJE.bigWig,human,HepG2,U2AF2
ENCFF293AWG,hg19,"[1, 2]",bigWig,781053965,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/02/09/821d130c-49cc-4c15-bf04-6f74a5d024cd/ENCFF293AWG.bigWig,human,HepG2,3xFLAG-MYRF
ENCFF084VEW,hg19,"[1, 2]",bigWig,780439308,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/71071fc6-0189-4f6e-aae4-da3213367c25/ENCFF084VEW.bigWig,human,K562,U2AF1
ENCFF620IQV,hg19,"[1, 2]",bigWig,778436999,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/a19ddf92-2a29-4ec0-83d0-3b5c687f64b6/ENCFF620IQV.bigWig,human,HepG2,3xFLAG-HOMEZ
ENCFF168SMR,hg19,"[1, 2]",bigWig,777977058,fold change over control,released,https://encode-public.s3.amazonaws.com/2016/06/13/af47b826-2144-4dcd-bd1c-6017c4854e1f/ENCFF168SMR.bigWig,human,HepG2,NRF1
ENCFF656QSA,hg19,"[1, 2]",bigWig,771087658,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/02/11/cc95d44e-bfb6-403f-b765-4e05995ad0a2/ENCFF656QSA.bigWig,human,HepG2,SFPQ
ENCFF186UDP,hg19,"[1, 2]",bigWig,770100824,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/6d675482-6a29-4481-8a51-2ce13dcee056/ENCFF186UDP.bigWig,human,HepG2,3xFLAG-NFIL3
ENCFF348CSN,hg19,"[1, 2]",bigWig,767659577,fold change over control,released,https://encode-public.s3.amazonaws.com/2017/07/20/c0132956-3c2a-4751-b8a5-fc952c060410/ENCFF348CSN.bigWig,human,H1,TBP
ENCFF794IBO,hg19,"[1, 2]",bigWig,767396877,fold change over control,released,https://encode-public.s3.amazonaws.com/2018/11/19/375eb5ef-986d-4bc8-addc-8cfcefaa266a/ENCFF794IBO.bigWig,human,HepG2,3xFLAG-NR2F6
